date,open,high,low,close,volume
2024-01-25,1.0884,1.09021,1.08213,1.08455,236632
2024-01-26,1.08455,1.08857,1.08128,1.08533,184258
2024-01-29,1.0844,1.08502,1.07957,1.08321,168740
2024-01-30,1.08314,1.08575,1.08116,1.08451,193552
2024-01-31,1.08451,1.08876,1.07945,1.08174,321617
2024-02-01,1.08173,1.08749,1.07799,1.08709,261954
2024-02-02,1.0871,1.08976,1.07803,1.07858,213182
2024-02-05,1.07818,1.07863,1.07231,1.0742099999999999,199757
2024-02-06,1.07408,1.07625,1.07225,1.07539,141204
2024-02-07,1.07536,1.07841,1.07468,1.07711,119518
2024-02-08,1.07711,1.07889,1.07414,1.07769,114675
2024-02-09,1.07771,1.07953,1.07622,1.07844,109641
2024-02-12,1.07785,1.08058,1.07557,1.07695,123716
2024-02-13,1.07712,1.07977,1.07002,1.07084,146193
2024-02-14,1.07083,1.07347,1.06945,1.07257,124709
2024-02-15,1.07241,1.0785,1.07229,1.07714,126671
2024-02-16,1.07705,1.07874,1.07319,1.07769,124752
2024-02-19,1.07722,1.07894,1.07618,1.07782,84124
2024-02-20,1.07785,1.08389,1.07613,1.08068,131771
2024-02-21,1.08064,1.08245,1.07897,1.0818,126403
2024-02-22,1.08181,1.08884,1.08027,1.0822,143407
2024-02-23,1.08222,1.08396,1.08116,1.08184,114073
2024-02-26,1.0830899999999999,1.08597,1.08125,1.08484,119123
2024-02-27,1.08502,1.08661,1.08328,1.0843099999999999,117059
2024-02-28,1.08432,1.08468,1.07963,1.08369,129079
2024-02-29,1.08372,1.0856,1.07957,1.08038,151207
2024-03-01,1.08045,1.08433,1.07963,1.0838700000000001,127274
2024-03-04,1.084,1.0867,1.0829,1.0853,122146
2024-03-05,1.08548,1.08765,1.08401,1.08545,126194
2024-03-06,1.0856,1.09154,1.08417,1.08973,142457
2024-03-07,1.08975,1.09493,1.08676,1.09465,137628
2024-03-08,1.09472,1.09813,1.09183,1.0937000000000001,142376
2024-03-11,1.09388,1.09483,1.09144,1.09249,109373
2024-03-12,1.09249,1.09436,1.09022,1.09261,65017
2024-03-13,1.09261,1.09637,1.09201,1.09473,37052
2024-03-14,1.09475,1.09547,1.08792,1.08845,41942
